n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
443,2043,CZE,Sám proti sobě,Viktor Sheen,Planeta opic,62,2023-10-13,AR,0.564,0.556,111000,0.534,0.146,159.923,0.34
444,2044,CZE,Domov můj,Viktor Sheen,Planeta opic,62,2023-10-13,AR,0.773,0.372,204179,0.374,0.361,134.05,0.553
445,2045,CZE,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist,87,2012-10-09,AR,0.633,0.0267,258432,0.927,0.0839,146.097,0.88
"446,2046,CZE,""PRŠÍ, PRŠÍ"",Ben Cristovao,PROTENKONTRAST,58,2022-07-01,AR,0.675,0.257,187745,0.6,0.0667,89.982,0.476"
447,2047,CZE,Můj space,Viktor Sheen,Planeta opic,60,2023-10-13,AR,0.929,0.0284,182069,0.344,0.266,115.961,0.474
448,2048,CZE,Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),94,2023-05-25,AR,0.671,0.0207,176579,0.845,0.048,110.056,0.775
449,2049,CZE,Síla Starejch Vín,ŠKWOR,Sliby & Lži,59,2013-09-27,AR,0.756,0.0846,174667,0.741,0.0257,112.911,0.762
450,2200,NLD,De Leven,Kevin,De Leven,65,2023-11-02,AR,0.568,0.247,161922,0.506,0.252,114.584,0.263
451,2201,NLD,Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,AR,0.537,0.827,184061,0.421,0.0285,98.224,0.524
452,2202,NLD,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0319,111.018,0.844
453,2203,NLD,Prada,cassö,Prada,94,2023-08-11,AR,0.638,0.001,132359,0.717,0.0375,141.904,0.422
454,2204,NLD,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),91,2023-08-04,AR,0.634,0.0908,178156,0.824,0.047,137.959,0.371
455,2205,NLD,Strangers,Kenya Grace,Strangers,98,2023-09-01,AR,0.628,0.701,172965,0.523,0.0946,169.982,0.416
456,2206,NLD,Monster,Zoë Tauran,Monster,69,2023-10-27,AR,0.699,0.21,174691,0.49,0.0631,92.912,0.655
457,2207,NLD,Water,Tyla,Water,95,2023-07-28,AR,0.673,0.0856,200256,0.722,0.0755,117.187,0.519
458,2208,NLD,Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),80,2023-09-15,AR,0.561,0.199,210689,0.604,0.0337,159.92,0.242
459,2209,NLD,Vas-y (Ga Maar),Suzan & Freek,Vas-y (Ga Maar),73,2023-09-07,AR,0.578,0.695,186456,0.324,0.0369,157.788,0.302
460,2210,NLD,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,0.194,99.974,0.726
461,2211,NLD,Wacht Op Mij,Trobi,Wacht Op Mij,67,2023-10-27,AR,0.777,0.285,137278,0.642,0.0819,99.957,0.716
462,2212,NLD,Not Fair,Niklas Dee,Not Fair,59,2023-06-30,US,0.733,0.0294,163034,0.976,0.045,144.989,0.523
463,2213,NLD,Cruel Summer,Taylor Swift,Lover,99,2019-08-23,AR,0.552,0.117,178427,0.702,0.157,169.994,0.564
464,2214,NLD,Stay (Never Leave),Kris Kross Amsterdam,Stay (Never Leave),51,2023-10-06,AR,0.678,0.0264,152139,0.723,0.0457,106.943,0.537
465,2215,NLD,Another Love,Tom Odell,Long Way Down (Deluxe),92,2013-06-24,AR,0.445,0.695,244360,0.537,0.04,122.769,0.131
466,2216,NLD,PK’s,Josylvio,PK’s,61,2023-11-02,AR,0.85,0.284,250377,0.747,0.184,139.945,0.848
467,2217,NLD,UNHEALTHY (feat. Shania Twain),Anne-Marie,UNHEALTHY (Deluxe),73,2023-07-28,AR,0.621,0.00526,149653,0.66,0.0366,119.937,0.407
468,2218,NLD,Overdrive (feat. Norma Jean Martine),Ofenbach,Overdrive (feat. Norma Jean Martine),76,2023-10-06,AR,0.611,0.00257,155905,0.757,0.03,126.963,0.279
469,2219,NLD,(It Goes Like) Nanana - Edit,Peggy Gou,(It Goes Like) Nanana,44,2023-09-29,AR,0.671,0.12,231545,0.876,0.0352,129.998,0.964
470,2220,NLD,Hartslag Van De Stad,Tino Martin,Hartslag Van De Stad,68,2023-09-28,AR,0.808,0.0919,179026,0.737,0.0346,111.983,0.619
471,2221,NLD,Desire (with Sam Smith),Calvin Harris,Desire (with Sam Smith),87,2023-07-28,AR,0.587,0.0311,179162,0.924,0.0457,140.009,0.509
472,2222,NLD,Jungle,Alok,Jungle,82,2023-09-22,AR,0.596,0.0524,175500,0.667,0.0295,140.002,0.217
473,2223,NLD,Schakelen,Djaga Djaga,Beschadigd,51,2023-11-03,AR,0.747,0.27,220666,0.627,0.4,140.777,0.594
474,2224,NLD,Loco Loco (feat. Sluwe Ollie),Alessio,Loco Loco (feat. Sluwe Ollie),70,2023-09-28,AR,0.827,0.208,165695,0.664,0.305,141.993,0.582
475,2225,NLD,Tonight,Son Mieux,Tonight,66,2023-10-12,AR,0.538,0.193,272710,0.424,0.0258,77.438,0.362
476,2226,NLD,Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),94,2023-05-25,AR,0.671,0.0207,176579,0.845,0.048,110.056,0.775
477,2227,NLD,Nickel For Goodbye,Racoon,Nickel For Goodbye,68,2023-08-31,AR,0.694,0.122,231744,0.71,0.0386,117.049,0.697
478,2228,NLD,Overcome,Nothing But Thieves,Dead Club City,70,2023-06-30,AR,0.413,0.000938,214724,0.876,0.057,164.08,0.341
479,2229,NLD,Over De Grens,Lijpe,Over De Grens,61,2023-11-03,AR,0.728,0.912,159588,0.38,0.279,98.038,0.682
480,2230,NLD,Chemical,Post Malone,Chemical,88,2023-04-14,AR,0.498,0.00136,184013,0.897,0.045,169.902,0.373
481,2231,NLD,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,86,1994-10-28,AR,0.336,0.164,241107,0.627,0.0384,150.273,0.35
482,2232,NLD,The Feeling,Lost Frequencies,The Feeling,82,2023-06-09,AR,0.615,0.404,152793,0.744,0.163,131.837,0.357
483,2233,NLD,Domino,KATNUF,Domino,71,2023-09-15,AR,0.803,0.168,147404,0.517,0.0662,104.851,0.641
484,2234,NLD,Last Christmas - Single Version,Wham!,The Singles: Echoes from the Edge of Heaven,70,2023-07-07,AR,0.733,0.212,265960,0.598,0.0278,107.732,0.935
485,2235,NLD,Engelbewaarder,Marco Schuitmaker,Engelbewaarder,70,2022-09-09,AR,0.799,0.112,196520,0.919,0.0398,130.006,0.973
486,2236,NLD,Niet Genoeg (feat. Idaly),CHO,Knock Knock 4,62,2023-10-27,AR,0.852,0.269,147117,0.575,0.29,92.958,0.709
"487,2237,NLD,""Dance For Me (1, 2, 3) - Stutter Techno"",Sonny Wern,""Dance For Me (1, 2, 3) [Stutter Techno]"",67,2023-10-06,AD,0.706,0.0505,147895,0.975,0.0651,154.993,0.319"
488,2238,NLD,Oceaan,Racoon,The Singles Collection,66,2013-03-15,CW,0.593,0.866,164757,0.313,0.0383,95.904,0.219
489,2239,NLD,One in a Million,Bebe Rexha,One in a Million,83,2023-08-04,AR,0.454,0.238,160530,0.931,0.0321,137.945,0.462
490,2240,NLD,Daylight,David Kushner,Daylight,95,2023-04-14,AR,0.508,0.83,212954,0.43,0.0335,130.09,0.324
491,2241,NLD,0800 HEAVEN,Nathan Dawe,0800 HEAVEN,47,2023-06-09,CA,0.643,0.188,159316,0.833,0.1,139.941,0.216
492,2242,NLD,This World Is Our Home,Douwe Bob,This World Is Our Home,66,2023-06-08,AR,0.575,0.0851,173732,0.75,0.0309,95.989,0.893
493,2243,NLD,City Boys,Burna Boy,I Told Them...,84,2023-08-24,AR,0.808,0.0851,153347,0.634,0.172,100.03,0.569
494,2244,NLD,Fast Car,Luke Combs,Gettin' Old,89,2023-03-24,AR,0.712,0.186,265493,0.603,0.0262,97.994,0.67
495,2245,NLD,Stiekem,Maan,Leven,66,2022-11-04,AR,0.748,0.0156,203438,0.579,0.0323,127.974,0.625
496,2246,NLD,7K Op Je Feestje,Noano,7K op je feestje,70,2023-09-14,AR,0.863,0.00749,130485,0.535,0.237,103.051,0.391
497,2247,NLD,RUNAWAY,OneRepublic,RUNAWAY,82,2023-05-26,AR,0.624,0.0336,143265,0.684,0.0513,163.033,0.75
498,2248,NLD,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,2023-10-26,AR,0.596,0.0504,229478,0.658,0.036,100.012,0.176
499,2249,NLD,Speciaal,Frenna,Francis,57,2018-11-23,AR,0.717,0.37,211273,0.537,0.158,195.782,0.569
