n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
308,1558,HUN,lost tiki,Azahriah,tripq,64,2023-08-24,AR,0.711,0.715,171429,0.691,0.0459,98.002,0.656
309,1559,HUN,valami amerikai,Azahriah,valami amerikai,63,2023-09-26,AR,0.615,0.599,220227,0.69,0.143,175.892,0.296
310,1560,HUN,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0319,111.018,0.844
311,1561,HUN,four moods,Azahriah,silbak,63,2022-08-17,AR,0.538,0.37,203529,0.669,0.217,101.993,0.198
312,1562,HUN,Várnék,Dzsúdló,Várnék,62,2022-07-07,AR,0.682,0.405,187105,0.691,0.0627,75.96,0.69
313,1563,HUN,Rollin',DESH,Rollin',62,2023-07-07,AR,0.753,0.377,199719,0.584,0.112,89.022,0.892
314,1564,HUN,Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,AR,0.537,0.827,184061,0.421,0.0285,98.224,0.524
315,1565,HUN,Pullup,Azahriah,A ló túloldalán,61,2022-05-20,AR,0.726,0.106,137000,0.632,0.112,86.905,0.289
316,1566,HUN,Baby,Bruno X Spacc,Baby,55,2023-10-26,AR,0.838,0.422,158653,0.642,0.0789,90.033,0.362
317,1567,HUN,Papa,DESH,DESHPERADO,61,2022-10-25,AR,0.833,0.382,140769,0.722,0.0748,104.017,0.425
318,1568,HUN,casa de papel,Azahriah,memento,61,2023-05-01,AR,0.808,0.646,160000,0.679,0.125,135.064,0.511
319,1569,HUN,Strangers,Kenya Grace,Strangers,98,2023-09-01,AR,0.628,0.701,172965,0.523,0.0946,169.982,0.416
320,1570,HUN,Villám,Mihályfi Luca,Villám,60,2023-07-25,AR,0.808,0.143,206000,0.391,0.0922,120.074,0.353
321,1571,HUN,figyelj,Azahriah,silbak,61,2022-08-17,AR,0.683,0.124,164291,0.683,0.036,110.933,0.234
322,1572,HUN,Walkin a street,DESH,CARPE DIEM,61,2023-07-21,AR,0.715,0.163,190687,0.791,0.17,79.959,0.963
323,1573,HUN,Miafasz,Azahriah,A ló túloldalán,60,2022-05-20,AR,0.696,0.368,193543,0.707,0.217,87.478,0.506
324,1574,HUN,Valentino,Mihályfi Luca,Valentino,57,2023-10-03,AR,0.8,0.0772,141830,0.681,0.0505,94.978,0.382
325,1575,HUN,BAGIRA,Beton.Hofi,PLAYBÁNIA,59,2022-09-01,AR,0.678,0.194,124273,0.825,0.299,86.11,0.51
326,1576,HUN,Ördög Nórika,Bruno X Spacc,Ördög Nórika,61,2023-07-30,AR,0.924,0.182,123125,0.557,0.243,96.036,0.258
327,1577,HUN,béke,Azahriah,tripq,62,2023-08-24,AR,0.676,0.395,315862,0.728,0.0965,174.089,0.938
328,1578,HUN,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,0.194,99.974,0.726
