n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
36,36,Global,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,93,2023-08-25,AR,0.429,0.554,227196,0.453,0.0459,77.639,0.155
37,37,Global,The Night We Met,Lord Huron,Strange Trails,83,2015-04-07,CA,0.545,0.969,208212,0.366,0.0378,86.997,0.1
38,38,Global,Columbia,Quevedo,Columbia,95,2023-07-07,AR,0.668,0.369,186000,0.712,0.0381,100.02,0.264
39,39,Global,Yes or No,Jung Kook,GOLDEN,84,2023-11-03,AR,0.671,0.179,147557,0.839,0.0866,83.845,0.882
40,40,Global,Stick Season,Noah Kahan,Stick Season,89,2022-10-14,AR,0.662,0.782,182347,0.488,0.0682,117.913,0.817
41,41,Global,LOU LOU,Gabito Ballesteros,LOU LOU,89,2023-10-19,AR,0.739,0.0622,188000,0.579,0.0509,130.002,0.694
42,42,Global,Sweater Weather,The Neighbourhood,I Love You.,93,2013-04-19,AR,0.612,0.0495,240400,0.807,0.0336,124.053,0.398
43,43,Global,Die For You,The Weeknd,Starboy,91,2016-11-24,AR,0.586,0.111,260253,0.525,0.0615,133.629,0.508
44,44,Global,Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version),90,2023-10-26,AR,0.575,0.000418,231000,0.824,0.038,94.971,0.292
45,45,Global,Now And Then,The Beatles,Now And Then,84,2023-11-02,AR,0.442,0.238,248333,0.605,0.0284,87.194,0.358
"46,46,Global,""One Of The Girls (with JENNIE, Lily Rose Depp)"",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),90,2023-06-23,AR,0.522,0.0545,244685,0.641,0.0318,87.51,0.202"
47,47,Global,EL AMOR DE SU VIDA,Grupo Frontera,El Comienzo,90,2023-08-25,AR,0.616,0.06,165848,0.834,0.0664,151.701,0.746
48,48,Global,Hate You,Jung Kook,GOLDEN,84,2023-11-03,AR,0.419,0.862,154237,0.274,0.0314,79.595,0.25
49,49,Global,FINA,Bad Bunny,nadie sabe lo que va a pasar mañana,93,2023-10-13,AR,0.847,0.0869,216328,0.724,0.298,94.601,0.396
